,comments,label
1,헐 대박,
2,123457,
3,통신사 의견인데 기사는 무슨 애플 탓인마냥 ㅋㅋ,
4,와 옛날 폴더폰 감성이네요ㅋㅋㅋㅋㅋㅋ 추억돋는다 뭔가 보라색 예쁜듯,
5,그래도 갖고 싶어요 넘 예뻐ㅜㅜ,
6,와 노래 저렇게 표시되능거 너무 예뻐요....,
7,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
8,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ드립인갘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
9,그 시절부터 지금까지 논란 한 번 없던 것이 제일 멋진 것 같아요...,
10,카메라 기능을 얼마나 좋게 했길래 근데 케이스 끼고 다니는 사람이면 신경 안쓸듯,
11,"완전 똑같게는 안될 것 같긴한데, 일단 인식할 수 있게 만들고 그걸 적용시킨게 진짜 ㅜㅜ 너무 좋네요...",
12,그냥 쓰던 폰 써야겠네요,
13,"워호오ㅜㅜㅠ 이번에 갤럭시노트20 디자인 보고 갈아타야겠구나 했는데 이번에 fe 모델 진짜 기깔나게 뽑아놔서 엉엉 약정 끝날때까지 이런 디자인, 스펙 유지하면 또 갤럭시 할 것 같아요ㅠㅠㅜㅠㅠ 아이폰 카메라 세개 뇌이징 당한 상태라 넘어갈까봐 무서워여ㅠㅠㅠㅠㅠㅠ 갤럭시 제발 fe에서 뒷면 유리로.. 제발...제발..... 그리고 버즈라이브 노캔 신경 좀만 더 써줘 제발.... 데발....... 에어팟프로 사고 싶지 않아ㅠㅠㅠㅠㅠㅠㅠㅠ",
14,어라 인트로 유튜버 잇섭...?,
15,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
16,"나오기만 해봐.. 아주 그냥 내가 당장 개통해서 내 것으로 만들어버릴 테니까,,,",
17,팀에게,
18,삼성페이 넘 좋아요! 그래서 지갑을 안 들고 댕긴다는ㅋㅋ,
19,와 알칸타라 같은 것보다 훨씬 낫네요,
20,방금 떠서 뭐야 했는데... 별 거 아니길ㅜㅜ,
21,와 1억 800만 화소..,
22,(내용 없이 첨부한 댓글),
23,아 감사합니다!!,
24,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전 개인적으로 노트5 디자인 좋아했어유 내 마지막 갤럭시폰...,
25,"갠적으로 젤 이쁜건 노트8이라 생각해요,,, 뒷면도 깔끔하구요,, 노트9는 지문인식 위치 바껴서 못생겨보임",
26,˗ˋˏ 와 ˎˊ˗  화이트 너무 예쁘다 브론즈도 괜찮은데 가격 안 괜찮을 것 같은 늭김,
27,실물 기대되네요,
28,필름 붙이면 손톱자국은 안 나려나요?,
29,"스엠 얼굴보고 뽑는데도 소속가수들 전부 실력 엄청난거 증말 대단하네여,,",
30,12 나오는거 보고요...,
31,폰을 접는다기보다 태블릿을 접어다닐 수 있게됐다고 생각하면 편해요’^’// 확실히 게임할때나 영상 볼 때 너무 편리ㅜㅜ,
32,222,
